X: (Deg),Y: (Hits)
-1.89887,0
-0.441008,18
1.01686,79
2.47472,22
3.93259,5
5.39045,0
6.84832,0
8.30618,0
9.76404,0
11.2219,0
12.6798,0
14.1376,0
15.5955,0
17.0534,0
18.5112,0
19.9691,0
21.427,0
22.8848,0
24.3427,0
25.8006,0
27.2584,0
28.7163,0
30.1742,0
31.632,0
33.0899,0
34.5477,0
36.0056,0
37.4635,0
38.9213,0
40.3792,0
41.8371,0
43.2949,0
44.7528,0
46.2107,0
47.6685,0
49.1264,0
50.5843,0
52.0421,0
53.5,0
54.9578,0
56.4157,0
57.8736,0
59.3314,0
60.7893,0
62.2472,0
63.705,0
65.1629,0
66.6208,0
68.0786,0
69.5365,0
70.9944,0
72.4522,0
73.9101,0
75.368,0
76.8258,0
78.2837,0
79.7415,0
81.1994,0
82.6573,0
84.1151,0
85.573,0
87.0309,0
88.4887,0
89.9466,0
91.4045,0
92.8623,0
94.3202,0
95.7781,0
97.2359,0
98.6938,0
100.152,0
101.61,0
103.067,0
104.525,0
105.983,0
107.441,0
108.899,0
110.357,0
111.815,0
113.272,0
114.73,0
116.188,0
117.646,0
119.104,0
120.562,0
122.02,0
123.477,0
124.935,0
126.393,0
127.851,0
129.309,0
130.767,0
132.225,0
133.683,0
135.14,0
136.598,0
138.056,0
139.514,0
140.972,0
142.43,0
143.888,0
145.345,0
146.803,0
148.261,0
149.719,0
151.177,0
152.635,0
154.093,0
155.551,0
157.008,0
158.466,0
159.924,0
161.382,0
162.84,0
164.298,0
165.756,0
167.213,0
168.671,0
170.129,0
171.587,0
173.045,0
174.503,0
175.961,0
177.418,0
178.876,0
180.334,0
181.792,0
183.25,0
184.708,0
186.166,0
187.624,0
189.081,0
190.539,0
191.997,0
193.455,0
194.913,0
196.371,0
197.829,0
199.286,0
200.744,0
202.202,0
203.66,0
205.118,0
206.576,0
208.034,0
209.492,0
210.949,0
212.407,0
213.865,0
215.323,0
216.781,0
218.239,0
219.697,0
221.154,0
222.612,0
224.07,0
225.528,0
226.986,0
228.444,0
229.902,0
231.359,0
232.817,0
234.275,0
235.733,0
237.191,0
238.649,0
240.107,0
241.565,0
243.022,0
244.48,0
245.938,0
247.396,0
248.854,0
250.312,0
251.77,0
253.227,0
254.685,0
256.143,0
257.601,0
259.059,0
260.517,0
261.975,0
263.432,0
264.89,0
266.348,0
267.806,0
269.264,0
270.722,0
272.18,0
273.638,0
275.095,0
276.553,0
278.011,0
279.469,0
280.927,0
282.385,0
283.843,0
285.3,0
286.758,0
288.216,0
289.674,0
291.132,0
292.59,0
294.048,0
295.506,0
296.963,0
298.421,0
299.879,0
301.337,0
302.795,0
304.253,0
305.711,0
307.168,0
308.626,0
310.084,0
311.542,0
313,0
314.458,0
315.916,0
317.373,0
318.831,0
320.289,0
321.747,0
323.205,0
324.663,0
326.121,0
327.579,0
329.036,0
330.494,0
331.952,0
333.41,0
334.868,0
336.326,0
337.784,0
339.241,0
340.699,0
342.157,0
343.615,0
345.073,27
346.531,271
347.989,1004
349.447,3367
350.904,9377
352.362,23824
353.82,39613
355.278,34305
356.736,15757
358.194,4220
359.652,777
361.109,0
